PPHIGDPK_01144-MONOMER	PPHIGDPK_01144		Teichoic acid translocation permease protein TagG	
PPHIGDPK_02072-MONOMER	PPHIGDPK_02072		2-succinylbenzoate--CoA ligase	
PPHIGDPK_01145-MONOMER	PPHIGDPK_01145		Chondroitin synthase	
PPHIGDPK_02073-MONOMER	PPHIGDPK_02073		o-succinylbenzoate synthase	
PPHIGDPK_01146-MONOMER	PPHIGDPK_01146		hypothetical protein	
PPHIGDPK_02074-MONOMER	PPHIGDPK_02074		Putative esterase	
PPHIGDPK_01147-MONOMER	PPHIGDPK_01147		dTDP-4-dehydrorhamnose reductase	
PPHIGDPK_02075-MONOMER	PPHIGDPK_02075		hypothetical protein	
PPHIGDPK_01148-MONOMER	PPHIGDPK_01148		N-acetyl-alpha-D-glucosaminyl L-malate synthase	
PPHIGDPK_02076-MONOMER	PPHIGDPK_02076		tRNA-specific adenosine deaminase	
PPHIGDPK_01149-MONOMER	PPHIGDPK_01149		hypothetical protein	
PPHIGDPK_02077-MONOMER	PPHIGDPK_02077		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	
PPHIGDPK_01150-MONOMER	PPHIGDPK_01150		dTDP-glucose 4,6-dehydratase	
PPHIGDPK_02078-MONOMER	PPHIGDPK_02078		Ribonuclease BN	
PPHIGDPK_01151-MONOMER	PPHIGDPK_01151		hypothetical protein	
PPHIGDPK_02079-MONOMER	PPHIGDPK_02079		5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	
PPHIGDPK_01152-MONOMER	PPHIGDPK_01152		putative dTDP-4-dehydrorhamnose 3,5-epimerase	
PPHIGDPK_02080-MONOMER	PPHIGDPK_02080		Zinc-type alcohol dehydrogenase-like protein	
PPHIGDPK_01153-MONOMER	PPHIGDPK_01153		hypothetical protein	
PPHIGDPK_02081-MONOMER	PPHIGDPK_02081		hypothetical protein	
PPHIGDPK_01154-MONOMER	PPHIGDPK_01154		Glucose-1-phosphate thymidylyltransferase 1	
PPHIGDPK_02082-MONOMER	PPHIGDPK_02082		hypothetical protein	
PPHIGDPK_01155-MONOMER	PPHIGDPK_01155		hypothetical protein	
PPHIGDPK_02083-MONOMER	PPHIGDPK_02083		Macrolide export ATP-binding/permease protein MacB	
PPHIGDPK_01156-MONOMER	PPHIGDPK_01156		50S ribosomal protein L28	
PPHIGDPK_02084-MONOMER	PPHIGDPK_02084		putative membrane protein	
PPHIGDPK_01157-MONOMER	PPHIGDPK_01157		hypothetical protein	
PPHIGDPK_02085-MONOMER	PPHIGDPK_02085		hypothetical protein	
PPHIGDPK_01158-MONOMER	PPHIGDPK_01158		hypothetical protein	
PPHIGDPK_02086-MONOMER	PPHIGDPK_02086		Multidrug resistance ABC transporter ATP-binding and permease protein	
PPHIGDPK_01159-MONOMER	PPHIGDPK_01159		Peptide methionine sulfoxide reductase MsrB	
PPHIGDPK_02087-MONOMER	PPHIGDPK_02087		hypothetical protein	
PPHIGDPK_01160-MONOMER	PPHIGDPK_01160		hypothetical protein	
PPHIGDPK_02088-MONOMER	PPHIGDPK_02088		hypothetical protein	
PPHIGDPK_01161-MONOMER	PPHIGDPK_01161		Fe(2+) transporter FeoB	
PPHIGDPK_02089-MONOMER	PPHIGDPK_02089		putative HTH-type transcriptional regulator YusO	
PPHIGDPK_01162-MONOMER	PPHIGDPK_01162		hypothetical protein	
PPHIGDPK_02090-MONOMER	PPHIGDPK_02090		hypothetical protein	
PPHIGDPK_01163-MONOMER	PPHIGDPK_01163		hypothetical protein	
PPHIGDPK_02091-MONOMER	PPHIGDPK_02091		putative ABC transporter ATP-binding protein	
PPHIGDPK_01164-MONOMER	PPHIGDPK_01164		1,4-dihydroxy-2-naphthoate octaprenyltransferase	
PPHIGDPK_02092-MONOMER	PPHIGDPK_02092		ATP-binding/permease protein CydD	
PPHIGDPK_01165-MONOMER	PPHIGDPK_01165		Hexaprenyl-diphosphate synthase large subunit ((2E,6E)-farnesyl-diphosphate specific)	
PPHIGDPK_02093-MONOMER	PPHIGDPK_02093		Cytochrome bd-I ubiquinol oxidase subunit 2	
PPHIGDPK_01166-MONOMER	PPHIGDPK_01166		Putative NAD(P)H nitroreductase	
PPHIGDPK_02094-MONOMER	PPHIGDPK_02094		Cytochrome bd ubiquinol oxidase subunit 1	
PPHIGDPK_01167-MONOMER	PPHIGDPK_01167		putative dual-specificity RNA methyltransferase RlmN	
PPHIGDPK_02095-MONOMER	PPHIGDPK_02095		Di-/tripeptide transporter	
PPHIGDPK_01168-MONOMER	PPHIGDPK_01168		hypothetical protein	
PPHIGDPK_02096-MONOMER	PPHIGDPK_02096		Amylopullulanase	
PPHIGDPK_01169-MONOMER	PPHIGDPK_01169		Mannosylglucosyl-3-phosphoglycerate phosphatase	
PPHIGDPK_02097-MONOMER	PPHIGDPK_02097		Glycogen phosphorylase	
PPHIGDPK_01170-MONOMER	PPHIGDPK_01170		hypothetical protein	
PPHIGDPK_02098-MONOMER	PPHIGDPK_02098		Glycogen synthase	
PPHIGDPK_01171-MONOMER	PPHIGDPK_01171		hypothetical protein	
PPHIGDPK_02099-MONOMER	PPHIGDPK_02099		Glycogen biosynthesis protein GlgD	
PPHIGDPK_01172-MONOMER	PPHIGDPK_01172		Deoxyuridine 5'-triphosphate nucleotidohydrolase	
PPHIGDPK_02100-MONOMER	PPHIGDPK_02100		Glucose-1-phosphate adenylyltransferase	
PPHIGDPK_01173-MONOMER	PPHIGDPK_01173		Aryl-phospho-beta-D-glucosidase BglC	
PPHIGDPK_02101-MONOMER	PPHIGDPK_02101		4-alpha-glucanotransferase	
PPHIGDPK_01174-MONOMER	PPHIGDPK_01174		hypothetical protein	
PPHIGDPK_02102-MONOMER	PPHIGDPK_02102		N utilization substance protein B	
PPHIGDPK_01175-MONOMER	PPHIGDPK_01175		hypothetical protein	
PPHIGDPK_02103-MONOMER	PPHIGDPK_02103		Alkaline shock protein 23	
PPHIGDPK_01176-MONOMER	PPHIGDPK_01176		PTS system oligo-beta-mannoside-specific EIIC component	
PPHIGDPK_02104-MONOMER	PPHIGDPK_02104		Elongation factor P	
PPHIGDPK_01177-MONOMER	PPHIGDPK_01177		hypothetical protein	
PPHIGDPK_02105-MONOMER	PPHIGDPK_02105		Aminopeptidase YpdF	
