#
#  lco_lactis_1064-c11_scyc 1.0 Genes link table generated on Tue Oct 24, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
PPHIGDPK_00148		clsA_1	
PPHIGDPK_00149			
PPHIGDPK_00150			
PPHIGDPK_00151			
PPHIGDPK_00152			
PPHIGDPK_00153			
PPHIGDPK_00363		ftsW_1	
PPHIGDPK_00154			
PPHIGDPK_00362		brpA_1	
PPHIGDPK_00155		fom3	
PPHIGDPK_00361		rpsN2	
PPHIGDPK_00156			
PPHIGDPK_00359		liaS	
PPHIGDPK_00157		potD	
PPHIGDPK_00358		liaR	
PPHIGDPK_00158		ydcV	
PPHIGDPK_00357			
PPHIGDPK_00159		potB	
PPHIGDPK_00356			
PPHIGDPK_00160		potA	
PPHIGDPK_00355		yugI	
PPHIGDPK_00161		murB	
PPHIGDPK_00353		rodA	
PPHIGDPK_00162		niaX	
PPHIGDPK_00352		gutB	
PPHIGDPK_00163		thrB_1	
PPHIGDPK_00351		butA	
PPHIGDPK_00164		hom	
PPHIGDPK_00348		yheS	
PPHIGDPK_00165			
PPHIGDPK_00347		mleA	
PPHIGDPK_00166		fpgS	
PPHIGDPK_00346		citS	
PPHIGDPK_00167		folQ	
PPHIGDPK_00345		yicL_1	
PPHIGDPK_00168		folP	
PPHIGDPK_00343		gph_1	
PPHIGDPK_00169		folE	
PPHIGDPK_00342		gyrB	
PPHIGDPK_00170		folB	
PPHIGDPK_00340		ycgJ_2	
PPHIGDPK_00171		engB	
PPHIGDPK_00337		emrB_1	
PPHIGDPK_00172		clpX	
PPHIGDPK_00334		deoB	
PPHIGDPK_00173			
PPHIGDPK_00332		deoD	
PPHIGDPK_00174		dhfR	
PPHIGDPK_00329		fhs1	
PPHIGDPK_00175		trmL	
PPHIGDPK_00328			
PPHIGDPK_00176			
PPHIGDPK_00327		tcyJ	
PPHIGDPK_00177		pucK	
PPHIGDPK_00326		yxeN	
PPHIGDPK_00178		xpt	
