#
#  st_thermophilus_cbc-s77_scyc 1.0 Genes link table generated on Tue Oct 24, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
NDNNOAAD_01480			
NDNNOAAD_01481		dnaE	
NDNNOAAD_01482		pfkA	
NDNNOAAD_01483		pyk	
NDNNOAAD_00024		tsaD	
NDNNOAAD_00025		rimI	
NDNNOAAD_00026		tsaB	
NDNNOAAD_00027			
NDNNOAAD_00028		rnj1	
NDNNOAAD_00675		oppF_3	
NDNNOAAD_00676			
NDNNOAAD_00677		ecsA_2	
NDNNOAAD_00678		ytrA	
NDNNOAAD_01444		rapA	
NDNNOAAD_00679		ybjI	
NDNNOAAD_01445			
NDNNOAAD_00680			
NDNNOAAD_01446		murC	
NDNNOAAD_00681		ftsY	
NDNNOAAD_01447			
NDNNOAAD_00682		gmk	
NDNNOAAD_01448		mltG	
NDNNOAAD_00683		rpoZ	
NDNNOAAD_01449		greA	
NDNNOAAD_00684		priA	
NDNNOAAD_00685		fmt	
NDNNOAAD_00686		rsmB	
NDNNOAAD_00687			
NDNNOAAD_00688		stkP	
NDNNOAAD_00010			
NDNNOAAD_00011			
NDNNOAAD_00012			
NDNNOAAD_00013			
NDNNOAAD_00014		thrB	
NDNNOAAD_01441		rpiA	
NDNNOAAD_00015		hom	
NDNNOAAD_01442		deoB	
NDNNOAAD_00016		icaB	
NDNNOAAD_01443			
NDNNOAAD_00017		argD	
NDNNOAAD_00018		argB	
NDNNOAAD_00019		argJ	
NDNNOAAD_00020		argC	
NDNNOAAD_00021		dapL	
NDNNOAAD_00022			
NDNNOAAD_00023			
NDNNOAAD_00651		tyrS	
NDNNOAAD_00652		ilvC	
NDNNOAAD_00001			
NDNNOAAD_00653		ilvH	
NDNNOAAD_00002			
NDNNOAAD_00654		ilvB	
NDNNOAAD_00003			
NDNNOAAD_00655		ilvD_2	
NDNNOAAD_00004		skfB	
NDNNOAAD_00656			
NDNNOAAD_00005			
NDNNOAAD_00657			
NDNNOAAD_00006		phnT	
NDNNOAAD_00658			
NDNNOAAD_00007		repE	
NDNNOAAD_00659		yeeO	
NDNNOAAD_00008			
NDNNOAAD_00660		thrC	
NDNNOAAD_00009			
NDNNOAAD_00661			
NDNNOAAD_00662		adhE_1	
NDNNOAAD_00663		adhE_2	
NDNNOAAD_00664		adhE_3	
NDNNOAAD_00665		adhE_4	
NDNNOAAD_00666		adhE_5	
NDNNOAAD_00667		pepO	
NDNNOAAD_00668		treA	
NDNNOAAD_00669		treC	
NDNNOAAD_00670		treB	
NDNNOAAD_00671		phnF	
NDNNOAAD_00672		treR	
NDNNOAAD_00673			
NDNNOAAD_01404		pheA	
NDNNOAAD_00674			
NDNNOAAD_01405		aroK	
NDNNOAAD_01406		aroA	
NDNNOAAD_01407			
NDNNOAAD_01408			
NDNNOAAD_01409		tyrA_2	
NDNNOAAD_01410		aroC	
NDNNOAAD_01411		aroB	
NDNNOAAD_01412		aroE	
NDNNOAAD_01413		aroD	
NDNNOAAD_01414		rlmI	
NDNNOAAD_01415		ltaS2	
NDNNOAAD_01416			
NDNNOAAD_01417		eno	
NDNNOAAD_01418			
NDNNOAAD_01419		glxK	
NDNNOAAD_01420			
NDNNOAAD_01421			
NDNNOAAD_01422			
NDNNOAAD_01423		ccpA	
NDNNOAAD_01424		pepQ	
NDNNOAAD_01425		yugI	
NDNNOAAD_01426			
NDNNOAAD_01427		smpB	
NDNNOAAD_01428		rnr	
NDNNOAAD_01429		secG	
NDNNOAAD_01430		yjhB	
NDNNOAAD_01431		coaE	
NDNNOAAD_01432		mutM	
NDNNOAAD_01433		era	
NDNNOAAD_01434		dgkA	
NDNNOAAD_01435		ybeY	
NDNNOAAD_01436		licT_1	
NDNNOAAD_01437		licT_2	
NDNNOAAD_01438		recR	
NDNNOAAD_01439		penA	
